"12/13/2016","4","11","18","37","40"
"12/12/2016","13","15","23","34","41"
"12/11/2016","17","18","34","35","36"
"12/10/2016","2","14","26","33","38"
"12/09/2016","1","4","22","23","32"
"12/08/2016","6","13","19","33","39"
"12/07/2016","8","11","12","29","40"
"12/06/2016","1","4","9","11","16"
"12/05/2016","5","6","13","15","28"
"12/04/2016","3","10","18","19","40"
"12/03/2016","1","15","25","28","38"
"12/02/2016","4","19","23","26","28"
"12/01/2016","1","5","11","12","36"
"11/30/2016","3","14","19","23","38"
"11/29/2016","1","5","9","11","35"
"11/28/2016","6","10","19","23","30"
"11/27/2016","14","16","23","35","40"
"11/26/2016","3","5","10","15","35"
"11/25/2016","4","28","33","38","41"
"11/24/2016","2","17","20","22","30"
"11/23/2016","7","19","20","26","31"
"11/22/2016","11","13","16","17","25"
"11/21/2016","3","10","16","28","39"
"11/20/2016","9","18","29","37","40"
"11/19/2016","2","3","25","34","41"
"11/18/2016","11","28","33","38","40"
"11/17/2016","4","5","9","23","41"
"11/16/2016","2","9","10","22","41"
"11/15/2016","1","4","9","20","27"
"11/14/2016","4","7","17","24","27"
"11/13/2016","3","14","15","24","29"
"11/12/2016","9","13","15","27","37"
"11/11/2016","17","19","26","30","34"
"11/10/2016","12","16","19","21","41"
"11/09/2016","1","16","24","29","39"
"11/08/2016","8","21","23","25","32"
"11/07/2016","2","3","22","24","40"
"11/06/2016","13","15","17","28","33"
"11/05/2016","1","6","19","38","41"
"11/04/2016","7","17","18","21","26"
"11/03/2016","3","8","21","30","35"
"11/02/2016","2","24","29","33","38"
"11/01/2016","7","17","18","31","36"
"10/31/2016","24","31","33","38","39"
"10/30/2016","21","24","27","35","41"
"10/29/2016","5","9","17","23","40"
"10/28/2016","17","22","29","32","34"
"10/27/2016","13","14","25","36","39"
"10/26/2016","2","10","22","30","32"
"10/25/2016","2","16","23","28","38"
"10/24/2016","5","27","30","36","41"
"10/23/2016","8","23","26","29","38"
"10/22/2016","6","11","22","37","38"
"10/21/2016","9","26","30","35","36"
"10/20/2016","10","19","29","32","40"
"10/19/2016","6","11","26","27","40"
"10/18/2016","1","16","21","30","33"
"10/17/2016","13","21","22","33","34"
"10/16/2016","5","13","23","26","37"
"10/15/2016","2","11","21","24","37"
"10/14/2016","4","5","20","31","34"
"10/13/2016","1","20","22","27","33"
"10/12/2016","1","6","11","12","14"
"10/11/2016","5","10","11","36","40"
"10/10/2016","5","15","36","38","39"
"10/09/2016","3","6","9","17","28"
"10/08/2016","13","21","24","26","37"
"10/07/2016","6","10","14","17","37"
"10/06/2016","5","18","23","36","38"
"10/05/2016","11","13","28","36","38"
"10/04/2016","5","8","17","29","41"
"10/03/2016","2","12","14","27","39"
"10/02/2016","4","11","20","21","39"
"10/01/2016","2","6","14","31","38"
"09/30/2016","2","25","26","32","33"
"09/29/2016","4","10","26","32","37"
"09/28/2016","5","13","14","32","41"
"09/27/2016","1","4","20","21","27"
"09/26/2016","2","7","14","32","34"
"09/25/2016","9","12","23","24","29"
"09/24/2016","9","19","22","30","33"
"09/23/2016","7","13","19","35","41"
"09/22/2016","1","18","19","21","24"
"09/21/2016","15","18","29","31","33"
"09/20/2016","14","15","16","29","35"
"09/19/2016","5","16","21","33","36"
"09/18/2016","12","17","23","32","34"
"09/17/2016","17","20","23","33","40"
"09/16/2016","5","9","24","30","34"
"09/15/2016","9","14","21","26","28"
"09/14/2016","1","7","19","21","24"
"09/13/2016","1","5","22","33","37"
"09/12/2016","1","5","17","23","29"
"09/11/2016","3","11","17","24","30"
"09/10/2016","7","12","18","22","34"
"09/09/2016","5","7","13","21","38"
"09/08/2016","9","24","32","40","41"
"09/07/2016","3","17","26","33","38"
"09/06/2016","5","6","7","14","30"
"09/05/2016","8","19","20","28","30"
"09/04/2016","4","15","26","29","32"
"09/03/2016","5","7","25","28","35"
"09/02/2016","10","23","35","37","41"
"09/01/2016","3","11","17","19","41"
"08/31/2016","4","24","25","29","34"
"08/30/2016","8","22","25","27","33"
"08/29/2016","2","16","20","30","31"
"08/28/2016","14","19","20","33","35"
"08/27/2016","15","16","17","20","38"
"08/26/2016","14","23","28","29","34"
"08/25/2016","7","21","26","29","36"
"08/24/2016","8","9","10","25","30"
"08/23/2016","12","17","26","28","36"
"08/22/2016","6","10","11","20","40"
"08/21/2016","7","8","21","40","41"
"08/20/2016","9","15","23","33","36"
"08/19/2016","1","9","27","35","36"
"08/18/2016","9","13","17","18","41"
"08/17/2016","12","13","24","25","29"
"08/16/2016","16","21","23","36","39"
"08/15/2016","6","9","19","26","28"
"08/14/2016","11","27","30","35","37"
"08/13/2016","3","6","23","34","38"
"08/12/2016","9","14","19","24","35"
"08/11/2016","5","6","20","33","41"
"08/10/2016","9","13","33","37","38"
"08/09/2016","9","13","24","25","36"
"08/08/2016","11","15","20","36","38"
"08/07/2016","6","19","24","25","37"
"08/06/2016","8","12","27","33","34"
"08/05/2016","9","12","18","28","36"
"08/04/2016","12","17","29","34","40"
"08/03/2016","1","2","10","24","34"
"08/02/2016","7","25","31","36","39"
"08/01/2016","1","6","7","21","28"
"07/31/2016","4","5","6","18","39"
"07/30/2016","22","24","26","29","36"
"07/29/2016","12","23","30","31","39"
"07/28/2016","28","34","35","37","38"
"07/27/2016","4","8","11","22","25"
"07/26/2016","5","10","23","33","40"
"07/25/2016","9","19","21","34","38"
"07/24/2016","6","8","9","19","35"
"07/23/2016","16","32","33","34","37"
"07/22/2016","1","3","6","12","15"
"07/21/2016","4","29","30","39","40"
"07/20/2016","16","21","24","32","36"
"07/19/2016","8","19","25","30","34"
"07/18/2016","10","18","24","25","39"
"07/17/2016","20","24","27","28","38"
"07/16/2016","12","16","18","20","31"
"07/15/2016","1","11","13","19","36"
"07/14/2016","20","22","25","34","38"
"07/13/2016","2","10","17","27","35"
"07/12/2016","4","6","8","26","40"
"07/11/2016","9","12","21","28","30"
"07/10/2016","19","21","26","28","37"
"07/09/2016","2","4","5","32","36"
"07/08/2016","15","22","25","31","41"
"07/07/2016","7","13","16","29","39"
"07/06/2016","10","21","23","25","37"
"07/05/2016","18","22","30","35","38"
"07/04/2016","10","12","13","18","39"
"07/03/2016","14","17","20","30","36"
"07/02/2016","21","24","25","29","35"
"07/01/2016","4","7","22","33","36"
"06/30/2016","3","7","10","23","37"
"06/29/2016","8","9","14","25","31"
"06/28/2016","7","11","30","38","40"
"06/27/2016","12","13","18","26","40"
"06/26/2016","2","12","22","26","36"
"06/25/2016","2","19","20","23","24"
"06/24/2016","1","5","16","17","27"
"06/23/2016","8","17","22","35","38"
"06/22/2016","1","3","19","36","38"
"06/21/2016","1","12","29","35","38"
"06/20/2016","2","3","27","39","41"
"06/19/2016","7","11","26","35","36"
"06/18/2016","14","16","18","31","35"
"06/17/2016","17","24","35","38","41"
"06/16/2016","3","11","27","31","37"
"06/15/2016","3","25","26","29","32"
"06/14/2016","8","17","19","30","33"
"06/13/2016","3","18","28","31","32"
"06/12/2016","1","9","13","25","36"
"06/11/2016","4","6","8","17","29"
"06/10/2016","7","11","24","32","33"
"06/09/2016","2","7","20","26","41"
"06/08/2016","5","7","14","28","38"
"06/07/2016","3","8","9","21","26"
"06/06/2016","5","11","25","40","41"
"06/05/2016","10","13","14","29","34"
"06/04/2016","3","5","15","31","37"
"06/03/2016","16","24","27","31","34"
"06/02/2016","4","13","16","27","40"
"06/01/2016","24","26","27","32","39"
"05/31/2016","10","11","12","15","23"
"05/30/2016","15","31","34","36","38"
"05/29/2016","5","9","21","29","35"
"05/28/2016","9","13","17","22","40"
"05/27/2016","13","22","28","36","39"
"05/26/2016","5","16","17","19","30"
"05/25/2016","13","18","25","26","38"
"05/24/2016","1","5","9","27","28"
"05/23/2016","3","5","19","37","39"
"05/22/2016","10","13","24","32","40"
"05/21/2016","3","7","8","17","24"
"05/20/2016","1","10","11","12","20"
"05/19/2016","4","11","15","19","23"
"05/18/2016","17","26","30","38","39"
"05/17/2016","6","7","10","31","41"
"05/16/2016","18","21","24","32","39"
"05/15/2016","4","8","12","17","24"
"05/14/2016","3","4","7","23","38"
"05/13/2016","11","17","23","29","34"
"05/12/2016","1","10","25","30","32"
"05/11/2016","2","18","20","24","27"
"05/10/2016","16","24","27","31","38"
"05/09/2016","1","13","17","18","36"
"05/08/2016","6","8","13","20","24"
"05/07/2016","5","13","16","25","29"
"05/06/2016","7","13","32","33","34"
"05/05/2016","15","19","26","31","35"
"05/04/2016","5","9","14","21","26"
"05/03/2016","1","10","16","20","31"
"05/02/2016","1","6","25","33","35"
"05/01/2016","3","13","14","17","30"
"04/30/2016","2","5","9","38","39"
"04/29/2016","22","24","27","35","36"
"04/28/2016","10","18","20","27","36"
"04/27/2016","5","7","20","33","35"
"04/26/2016","3","8","13","21","37"
"04/25/2016","13","19","22","25","39"
"04/24/2016","3","14","21","23","38"
"04/23/2016","15","20","30","32","35"
"04/22/2016","8","9","12","24","32"
"04/21/2016","10","25","35","36","37"
"04/20/2016","1","11","14","18","36"
"04/19/2016","7","9","25","31","38"
"04/18/2016","4","5","6","16","34"
